source_id,relation,target_id
u887464432430850048,following,u318093688
u1903560060,following,u318093688
u1708383414,following,u17800689
u961802092003209216,following,u84163797
u1318816143415521280,following,u3158689771
u195161562,following,u174083824
u195161562,following,u850475056765345793
u269196907,following,u1318816143415521280
u2573833471,following,u21147300
u36524036,following,u175282603
u1194759775969370112,following,u147393852
u1194759775969370112,following,u3425143394
u161822962,following,u147393852
u161822962,following,u850475056765345793
u269196907,following,u318093688
u887464432430850048,following,u147393852
u36524036,following,u11781162
u1318816143415521280,following,u20956102
u781369249008750592,following,u1318816143415521280
u36524036,following,u22129782
u196661823,following,u3158689771
u1708383414,following,u346400805
u1708383414,following,u174083824
u2573833471,following,u256424454
u1077375997933060096,following,u3158689771
u1708383414,following,u934842466175401984
u195161562,following,u175282603
u2573833471,following,u3158689771
u36524036,following,u1903560060
u3344897053,following,u36524036
u175282603,following,u11781162
u1708383414,following,u10451462
u1708383414,following,u3091646856
u1408142352,following,u3344897053
u1708383414,following,u2154461958
u1903560060,following,u246178914
u314391114,following,u3158689771
u1708383414,following,u3158689771
u961802092003209216,following,u17383073
u269196907,following,u301479546
u196661823,following,u318093688
u269196907,following,u427330274
u1708383414,following,u6884
u161822962,following,u174083824
u36524036,following,u1708383414
u2573833471,following,u346400805
u1318816143415521280,following,u846563012634787841
u961802092003209216,following,u34406598
u1077375997933060096,following,u301479546
u161822962,following,u468825843
u1389876718047875073,following,u961802092003209216
u887464432430850048,following,u3158689771
u1708383414,following,u84163797
u1708383414,following,u11781162
u17383073,following,u22129782
u961802092003209216,following,u874754055037255680
u1389876718047875073,following,u346400805
u887464432430850048,following,u20956102
u1318816143415521280,following,u318093688
u887464432430850048,following,u246178914
u961802092003209216,following,u3158689771
u196661823,following,u346400805
u161822962,following,u2167434860
u314391114,following,u1708383414
u1077375997933060096,following,u3091646856
u195161562,following,u509731048
u17383073,following,u246178914
u1708383414,following,u3425143394
u196661823,following,u24646005
u1318816143415521280,following,u3091646856
u301479546,following,u961802092003209216
u1077375997933060096,following,u468825843
u3344897053,following,u3425143394
u161822962,following,u346400805
u781369249008750592,following,u2154461958
u196661823,following,u2167434860
u36524036,following,u468825843
u196661823,following,u427330274
u961802092003209216,following,u846563012634787841
u961802092003209216,following,u22129782
u17383073,following,u175282603
u1903560060,following,u2154461958
u36524036,following,u318093688
u175282603,following,u17800689
u1194759775969370112,following,u246178914
u314391114,following,u346400805
u961802092003209216,following,u6884
u36524036,following,u20956102
u196661823,following,u3344897053
u961802092003209216,following,u256424454
u161822962,following,u3091646856
u175282603,following,u174083824
u2573833471,following,u24646005
u195161562,following,u3344897053
u1389876718047875073,following,u509731048
u17383073,following,u427330274
u1389876718047875073,following,u2167434860
u196661823,following,u468825843
u1408142352,following,u1708383414
u3344897053,following,u3158689771
u36524036,following,u509731048
u961802092003209216,following,u21147300
u961802092003209216,following,u11781162
u196661823,following,u174083824
u1318816143415521280,following,u346400805
u36524036,following,u3344897053
u161822962,following,u17383073
u17383073,following,u161822962
u196661823,following,u20956102
u1318816143415521280,following,u781369249008750592
u961802092003209216,following,u2167434860
u1077375997933060096,following,u174083824
u1708383414,following,u34406598
u887464432430850048,following,u256424454
u314391114,following,u2154461958
u1077375997933060096,following,u346400805
u175282603,following,u36524036
u161822962,following,u84163797
u2573833471,following,u2167434860
u36524036,following,u24646005
u1903560060,following,u427330274
u1408142352,following,u2167434860
u196661823,following,u2154461958
u3344897053,following,u24646005
u175282603,following,u874754055037255680
u961802092003209216,following,u965353159936782337
u269196907,following,u20956102
u17383073,following,u20956102
u1318816143415521280,following,u174083824
u269196907,following,u3158689771
u961802092003209216,following,u934842466175401984
u1708383414,following,u17383073
u1077375997933060096,following,u427330274
